loglik_mean,num_edge,n_p,n,p,model
35.290339801385876,2400,200_100,200,100,DC
35.28887533048707,2450,200_100,200,100,DC
35.29933679797479,2500,200_100,200,100,DC
35.29456118169669,2550,200_100,200,100,DC
35.29047546632849,2600,200_100,200,100,DC
35.288010825802246,2650,200_100,200,100,DC
35.295212088203364,2700,200_100,200,100,DC
35.296690411549264,2750,200_100,200,100,DC
35.29792720745471,2800,200_100,200,100,DC
35.301584645809044,2850,200_100,200,100,DC
35.31248135073327,2900,200_100,200,100,DC
35.29968145972597,2950,200_100,200,100,DC
35.29853949547122,3000,200_100,200,100,DC
35.29591991142432,3050,200_100,200,100,DC
35.3052448685113,3100,200_100,200,100,DC
35.30992458800298,3150,200_100,200,100,DC
35.3010289339614,3200,200_100,200,100,DC
35.297600866948756,3250,200_100,200,100,DC
35.3006439819195,3300,200_100,200,100,DC
35.301213799403584,3350,200_100,200,100,DC
35.298109927868246,3400,200_100,200,100,DC
35.29268141083834,3450,200_100,200,100,DC
35.28387731588984,3500,200_100,200,100,DC
35.28512928266347,3550,200_100,200,100,DC
35.28644377424103,3600,200_100,200,100,DC
35.27616042095564,3650,200_100,200,100,DC
35.282127415257236,3700,200_100,200,100,DC
35.28180979917764,3750,200_100,200,100,DC
35.2860175061451,3800,200_100,200,100,DC
35.286982459259924,3850,200_100,200,100,DC
35.291238988963926,3900,200_100,200,100,DC
35.28645550602747,3949.6,200_100,200,100,DC
35.28036876218274,3999.6,200_100,200,100,DC
35.27417011055119,4049.6,200_100,200,100,DC
35.27185655974819,4099.2,200_100,200,100,DC
35.27406522668195,4148.8,200_100,200,100,DC
35.27563204622301,4198.6,200_100,200,100,DC
35.2739854996116,4247.4,200_100,200,100,DC
35.27178611334276,4296,200_100,200,100,DC
35.26821038740383,4345.2,200_100,200,100,DC
35.26802888314863,4392,200_100,200,100,DC
35.26587841459971,4439.8,200_100,200,100,DC
35.265051158135485,4485.8,200_100,200,100,DC
35.26528042330149,4528.6,200_100,200,100,DC
35.26444558603215,4572.8,200_100,200,100,DC
35.264005368157385,4614.6,200_100,200,100,DC
35.265655605975965,4653.2,200_100,200,100,DC
35.26605492531521,4691.6,200_100,200,100,DC
35.26692644808216,4728,200_100,200,100,DC
35.26877692526644,4761.4,200_100,200,100,DC
35.26850009704841,4789.4,200_100,200,100,DC
35.26702389972775,4813.2,200_100,200,100,DC
29.541932928654084,1,100_200,100,200,DC
29.59117312257435,202,100_200,100,200,DC
29.488679490305806,403,100_200,100,200,DC
29.357870373117947,604,100_200,100,200,DC
29.28261403194868,805,100_200,100,200,DC
29.196768433015166,1006,100_200,100,200,DC
29.09943330156795,1207,100_200,100,200,DC
29.062385519763303,1408,100_200,100,200,DC
29.03492315986216,1609,100_200,100,200,DC
29.073823693422195,1810,100_200,100,200,DC
29.04385710632758,2011,100_200,100,200,DC
29.003986643134038,2212,100_200,100,200,DC
29.00783373152649,2413,100_200,100,200,DC
28.999884604125306,2614,100_200,100,200,DC
28.99269064442411,2815,100_200,100,200,DC
29.01618200199307,3016,100_200,100,200,DC
28.996018695604867,3217,100_200,100,200,DC
28.887678989039074,3418,100_200,100,200,DC
28.826551759921095,3619,100_200,100,200,DC
28.761635536358103,3820,100_200,100,200,DC
28.74394975925124,4021,100_200,100,200,DC
28.693409646227348,4222,100_200,100,200,DC
28.660553043800384,4423,100_200,100,200,DC
28.65028578371382,4624,100_200,100,200,DC
28.666056582164465,4825,100_200,100,200,DC
28.640558932327558,5026,100_200,100,200,DC
28.630450687962252,5227,100_200,100,200,DC
28.611494644222933,5428,100_200,100,200,DC
28.581655883556255,5629,100_200,100,200,DC
28.568980002870678,5830,100_200,100,200,DC
28.555137562568994,6031,100_200,100,200,DC
28.55194423974732,6232,100_200,100,200,DC
28.550879142624705,6433,100_200,100,200,DC
