p,n,DC,glasso,SCAD,adapt,n_p
200,200,0.19199999992270023,0.05799999996088445,0.03700000001117587,0.013000000035390258,200_200
200,200,0.21299999998882413,0.043000000063329935,0.03599999996367842,0.011999999987892807,200_200
200,200,0.17299999995157123,0.043999999994412065,0.03500000003259629,0.013000000035390258,200_200
200,200,0.17600000009406358,0.05700000002980232,0.03700000001117587,0.011999999987892807,200_200
200,200,0.1720000000204891,0.042000000015832484,0.03299999993760139,0.011999999987892807,200_200
200,200,0.1720000000204891,0.04099999996833503,0.03200000000651926,0.011999999987892807,200_200
283,200,0.3709999999264255,0.11199999996460974,0.08100000000558794,0.03500000003259629,200_283
283,200,0.375,0.10999999998603016,0.0779999999795109,0.030000000027939677,200_283
283,200,0.3649999999906868,0.106000000028871,0.08199999993667006,0.030000000027939677,200_283
283,200,0.34999999997671694,0.10999999998603016,0.07200000004377216,0.030000000027939677,200_283
283,200,0.35700000007636845,0.10499999998137355,0.08100000000558794,0.18500000005587935,200_283
283,200,0.3729999999050051,0.10699999995995313,0.07900000002700835,0.030000000027939677,200_283
283,200,0.35499999998137355,0.10499999998137355,0.0779999999795109,0.030000000027939677,200_283
283,200,0.3399999999674037,0.10499999998137355,0.06499999994412065,0.03500000003259629,200_283
283,200,0.3680000000167638,0.11299999989569187,0.0800000000745058,0.030000000027939677,200_283
283,200,0.4600000000791624,0.11400000005960464,0.08600000001024455,0.028999999980442226,200_283
400,200,1.0079999999143183,0.3119999999180436,0.21400000003632158,0.07999999995809048,200_400
400,200,1.243999999947846,0.3119999999180436,0.22900000005029142,0.0779999999795109,200_400
400,200,1.0110000000568107,0.31200000003445894,0.22499999997671694,0.0779999999795109,200_400
400,200,1.2419999999692664,0.3159999999916181,0.22900000005029142,0.07999999995809048,200_400
400,200,1.025000000023283,0.30799999996088445,0.21600000001490116,0.07700000004842877,200_400
400,200,1.0039999999571592,0.3090000000083819,0.22100000001955777,0.0779999999795109,200_400
400,200,1.021999999997206,0.3090000000083819,0.21799999999348074,0.07900000002700835,200_400
400,200,1.0180000000400469,0.3090000000083819,0.21500000008381903,0.0779999999795109,200_400
400,200,1.0050000000046566,0.31000000005587935,0.22699999995529652,0.0779999999795109,200_400
400,200,1.259999999892898,0.3109999999869615,0.24899999995250255,0.08200000005308539,200_400
200,400,0.17099999997299165,0.042000000015832484,0.03399999998509884,0.011999999987892807,400_200
200,400,0.1749999999301508,0.04099999996833503,0.03500000003259629,0.011999999987892807,400_200
200,400,0.18200000002980232,0.05799999996088445,0.03600000008009374,0.010999999940395355,400_200
200,400,0.17600000009406358,0.0400000000372529,0.03200000000651926,0.010999999940395355,400_200
200,400,0.1790000000037253,0.05700000002980232,0.03500000003259629,0.011999999987892807,400_200
200,400,0.17799999995622784,0.05599999998230487,0.03599999996367842,0.011999999987892807,400_200
200,400,0.17199999990407377,0.042000000015832484,0.03800000005867332,0.010999999940395355,400_200
200,400,0.19700000004377216,0.05599999998230487,0.03600000008009374,0.011999999987892807,400_200
200,400,0.17099999997299165,0.042000000015832484,0.03300000005401671,0.011999999987892807,400_200
200,400,0.17300000006798655,0.04199999989941716,0.03300000005401671,0.011999999987892807,400_200
283,400,0.38300000003073364,0.10699999995995313,0.0800000000745058,0.030000000027939677,400_283
283,400,0.3699999999953434,0.11199999996460974,0.087000000057742,0.029999999911524355,400_283
283,400,0.3699999999953434,0.10499999998137355,0.07999999995809048,0.030000000027939677,400_283
283,400,0.4839999999385327,0.16099999996367842,0.09499999997206032,0.030999999959021807,400_283
